doi,altmetric_id,altmetric_score,type,article_title,journal_title,journal_volume,journal_issue,page_starts,page_ends,publisher,altmetric_journal_id,total_mentions,print_publication_date,first_seen_on_date,last_mentioned_date,first_author,pdf_url,uri,mendeley_url
10.1016/j.infoecopol.2012.11.002,15406298,6.0,article,More bits – more bucks? Measuring the impact of broadband internet on firm performance,Information Economics & Policy,25,3,190,203,NA,4f6fa5953cf058f610004f9c,3,2013-09-01T00:00:00+00:00,2017-01-12T09:25:01+00:00,2016-11-25T01:10,Irene Bertschek,NA,NA,http://www.mendeley.com/research/more-bits-more-bucks-measuring-impact-broadband-internet-firm-performance
10.2166/wst.2013.388,12877358,3.0,article,"A review of the detection, fate and effects of engineered nanomaterials in wastewater treatment plants",Water Science & Technology,68,7,1440,NA,IWA Publishing,4f6fa53c3cf058f610004715,1,2013-10-14T23:00:00+00:00,2016-10-22T08:31:12+00:00,2016-11-25T00:00,Neale PA,http://wst.iwaponline.com/content/ppiwawst/68/7/1440.full.pdf,http://wst.iwaponline.com/cgi/doi/10.2166/wst.2013.388,http://www.mendeley.com/research/review-detection-fate-effects-engineered-nanomaterials-wastewater-treatment-plants
10.1016/j.jval.2013.10.002,1907499,13.25,article,A pilot study of multicriteria decision analysis for valuing orphan medicines.,Value in Health (Elsevier Science),16,8,NA,NA,Elsevier,4f6fa5153cf058f6100036ec,11,2013-11-01T00:00:00+00:00,2013-11-15T04:03:18+00:00,2016-11-18T00:00,Jon Sussex,NA,NA,http://www.mendeley.com/research/pilot-study-multicriteria-decision-analysis-valuing-orphan-medicines
10.1371/journal.pmed.1001460,1532440,58.25,article,Patented Drug Extension Strategies on Healthcare Spending: A Cost-Evaluation Analysis,PLoS Medicine,10,6,e1001460,NA,Public Library of Science,4f6fa5123cf058f61000334b,46,2013-06-04T00:00:00+00:00,2013-06-05T02:08:47+00:00,2017-09-11T23:16,Nathalie Vernaz,http://dx.plos.org/10.1371/journal.pmed.1001460.pdf,NA,http://www.mendeley.com/research/patented-drug-extension-strategies-healthcare-spending-costevaluation-analysis
10.1215/03616878-2373166,1986390,4.25,article,Can the NICE “End-of-Life Premium” Be Given a Coherent Ethical Justification?,"Journal of Health Politics, Policy and Law",NA,NA,NA,NA,Duke University Press,4f6fa4db3cf058f61000188d,5,2013-01-01T00:00:00+00:00,2013-12-17T17:10:11+00:00,2016-11-18T00:00,Richard Cookson,http://jhppl.dukejournals.org/content/38/6/1129.full.pdf,NA,http://www.mendeley.com/research/nice-endoflife-premium-given-coherent-ethical-justification
10.1016/j.apenergy.2013.04.093,20526212,3.0,article,Low-temperature cold-start gaseous emissions of late technology passenger cars,Applied Energy,NA,NA,NA,NA,NA,4f6fa4e83cf058f6100022d1,1,2013-11-01T00:00:00+00:00,2017-05-26T07:00:29+00:00,2016-11-17T00:00,Christos Dardiotis,NA,NA,http://www.mendeley.com/research/lowtemperature-coldstart-gaseous-emissions-late-technology-passenger-cars
10.1016/j.atmosenv.2012.09.062,16270898,3.0,article,Use of portable emissions measurement system (PEMS) for the development and validation of passenger car emission factors,Atmospheric Environment (00046981),NA,NA,NA,NA,NA,4f6fa5693cf058f610004b1b,1,2013-01-01T00:00:00+00:00,2017-02-09T18:54:24+00:00,2016-11-16T00:00,Marina Kousoulidou,NA,http://linkinghub.elsevier.com/retrieve/pii/S1352231012009363,http://www.mendeley.com/research/portable-emissions-measurement-system-pems-development-validation-passenger-car-emission-factors
10.1111/ntwe.12008,1634643,23.6,article,"The politics of global production: Apple, Foxconn and China's new working class","New Technology, Work & Employment",28,2,100,115,NA,4f6fa5653cf058f610004a71,24,2013-01-01T00:00:00+00:00,2013-07-19T04:18:26+00:00,2017-09-25T11:01,"Chan, Jenny",http://onlinelibrary.wiley.com/doi/10.1111/ntwe.12008/pdf,NA,http://www.mendeley.com/research/politics-global-production-apple-foxconn-chinas-new-working-class
10.1073/pnas.1308335110,1707149,25.014,article,Efficient multiplex biallelic zebrafish genome editing using a CRISPR nuclease system.,Proceedings of the National Academy of Sciences of the United States of America,110,34,13904,NA,National Academy of Sciences,4f6fa5133cf058f6100033a0,19,2013-08-20T00:00:00+00:00,2013-08-23T15:34:38+00:00,2018-05-10T17:29,Li-En Jao,http://www.pnas.org/content/110/34/13904.full.pdf,NA,http://www.mendeley.com/research/efficient-multiplex-biallelic-zebrafish-genome-editing-using-crispr-nuclease-system
10.1007/s13593-013-0143-z,4864481,11.93,article,Urban agriculture in the developing world: a review,Agronomy for Sustainable Development,33,4,NA,NA,Springer Paris,4f6fa5193cf058f610003868,4,2013-05-09T00:00:00+00:00,2015-12-10T23:12:39+00:00,2016-11-01T00:00,Francesco Orsini,http://link.springer.com/content/pdf/10.1007%2Fs13593-013-0143-z.pdf,http://link.springer.com/10.1007/s13593-013-0143-z,http://www.mendeley.com/research/urban-agriculture-developing-world-review-17
10.1007/s10916-012-9895-2,5955124,3.0,article,Barriers to the widespread adoption of health data standards: an exploratory qualitative study in tertiary healthcare organizations in saudi arabia.,Journal of Medical Systems,37,2,NA,NA,Springer US,4f6fa4f53cf058f610002e46,1,2013-04-14T23:00:00+00:00,2016-02-22T19:11:59+00:00,2016-11-01T00:00,Alkraiji A,https://link.springer.com/content/pdf/10.1007%2Fs10916-012-9895-2.pdf,http://link.springer.com/10.1007/s10916-012-9895-2,http://www.mendeley.com/research/barriers-widespread-adoption-health-data-standards-exploratory-qualitative-study-tertiary-healthcare
10.1145/2524263,20525843,3.0,article,The “Mail-Order-Bride” (MOB) Phenomenon in the Cyberworld,ACM Transactions on Management Information Systems,NA,NA,NA,NA,ACM,4f6fa4c83cf058f610000024,1,2013-10-01T00:00:00+00:00,2017-05-26T06:57:34+00:00,2016-10-26T01:00,Suprateek Sarker,http://dl.acm.org/ft_gateway.cfm?id=2524263&type=pdf,NA,http://www.mendeley.com/research/mailorderbride-mob-phenomenon-cyberworld
10.1111/rode.12030,14916387,3.0,article,The Rise of the Maquiladoras : A Mixed Blessing,Review of Development Economics,17,2,252,267,NA,4f6fa5663cf058f610004ab4,1,2013-04-19T00:00:00+00:00,2016-12-21T19:20:23+00:00,2016-10-17T18:35,"Heid, Benedikt",http://onlinelibrary.wiley.com/doi/10.1111/rode.12030/pdf,http://doi.wiley.com/10.1111/rode.12030,http://www.mendeley.com/research/rise-maquiladoras-mixed-blessing
10.1016/j.apenergy.2012.08.015,1170517,4.0,article,Predicting the diversity of internal temperatures from the English residential sector using panel methods,Applied Energy,102,NA,601,621,Elsevier,4f6fa4e83cf058f6100022d1,3,2013-02-01T00:00:00+00:00,2013-01-11T16:15:44+00:00,2016-10-03T10:28,Scott Kelly,NA,http://linkinghub.elsevier.com/retrieve/pii/S0306261912005855,http://www.mendeley.com/research/predicting-diversity-internal-temperatures-english-residential-sector-using-panel-methods
10.1007/s11367-013-0553-9,16055555,3.0,article,Life cycle assessment of cheese and whey production in the USA,International Journal of Life Cycle Assessment,NA,NA,NA,NA,Springer-Verlag,4f6fa6053cf058f610006611,2,2013-02-19T00:00:00+00:00,2017-02-02T16:14:08+00:00,2016-10-01T01:00,Daesoo Kim,http://link.springer.com/content/pdf/10.1007%2Fs11367-013-0553-9.pdf,http://link.springer.com/10.1007/s11367-013-0553-9,http://www.mendeley.com/research/life-cycle-assessment-cheese-whey-production-usa
10.1016/j.appet.2012.07.016,2305070,3.0,article,"Evolutions in food marketing, quantifying the impact, and policy implications",Appetite,NA,NA,NA,NA,NA,4f6fa4e83cf058f6100022c3,1,2013-01-01T00:00:00+00:00,2014-04-25T15:35:14+00:00,2016-09-27T01:00,Georgina Cairns,NA,http://linkinghub.elsevier.com/retrieve/pii/S0195666312002401,http://www.mendeley.com/research/evolutions-food-marketing-quantifying-impact-policy-implications-1
10.1016/j.healthpol.2013.07.019,1691199,5.45,article,Applying rapid ‘de-facto’ HTA in resource-limited settings: Experience from Romania,Health Policy,NA,NA,NA,NA,Elsevier Ireland Ltd,4f6fa5933cf058f610004f67,5,2013-08-01T00:00:00+00:00,2013-08-15T17:26:52+00:00,2016-09-26T01:00,Ruth Lopert,NA,http://linkinghub.elsevier.com/retrieve/pii/S016885101300208X,http://www.mendeley.com/research/applying-rapid-defacto-hta-resourcelimited-settings-experience-romania
10.1586/14737167.2013.847367,1904551,6.5,article,Differential pricing of new pharmaceuticals in lower income European countries.,Expert Review of Pharmacoeconomics and Outcomes Research,13,6,735,741,Taylor & Francis,4f6fa6173cf058f6100073d8,4,2013-12-01T00:00:00+00:00,2013-11-14T04:17:01+00:00,2016-09-26T01:00,Zoltán Kaló,NA,http://www.tandfonline.com/doi/full/10.1586/14737167.2013.847367,http://www.mendeley.com/research/differential-pricing-new-pharmaceuticals-lower-income-european-countries
10.1111/twec.12025,16272316,3.5,article,Who Uses Intermediaries in International Trade? Evidence from Firm-level Survey Data,World Economy,NA,NA,NA,NA,Blackwell Publishing Ltd,4f6fa5683cf058f610004ae2,2,2013-02-07T00:00:00+00:00,2017-02-09T19:22:52+00:00,2017-09-15T16:25,"Abel‐Koch, Jennifer",http://onlinelibrary.wiley.com/doi/10.1111/twec.12025/pdf,http://doi.wiley.com/10.1111/twec.12025,http://www.mendeley.com/research/uses-intermediaries-international-trade-evidence-firmlevel-survey-data
10.1377/hlthaff.2013.0481,22868920,37.532,article,Primary Care Technicians: A Solution To The Primary Care Workforce Gap,Health Affairs,32,11,NA,NA,"Project HOPE - The People-to-People Health Foundation,
                    Inc.",4f6fa4ec3cf058f6100029ba,15,2013-11-01T00:00:00+00:00,2017-07-28T06:20:09+00:00,2018-04-03T20:45,Arthur L. Kellermann,http://content.healthaffairs.org/content/32/11/1893.full.pdf,NA,http://www.mendeley.com/research/primary-care-technicians-solution-primary-care-workforce-gap
10.1287/mnsc.1120.1683,1247770,11.15,article,Is Pay for Performance Detrimental to Innovation?,Management Science,59,7,1496,1513,NA,4f6fa5643cf058f610004a41,15,2013-01-01T00:00:00+00:00,2013-02-19T03:43:25+00:00,2016-09-15T14:41,Florian Ederer,http://mansci.journal.informs.org/content/early/2013/02/15/mnsc.1120.1683.full.pdf,NA,http://www.mendeley.com/research/pay-performance-detrimental-innovation
10.1109/tbme.2013.2243912,30174244,23.992,article,Bioprinting Toward Organ Fabrication: Challenges and Future Trends,IEEE Transactions on Biomedical Engineering,NA,NA,NA,NA,IEEE,4f6fa4ed3cf058f610002a47,12,2013-03-01T00:00:00+00:00,2017-12-08T14:48:18+00:00,2017-09-19T01:00,"Ozbolat, I.T.",http://ieeexplore.ieee.org/iel5/10/6477135/06423824.pdf?arnumber=6423824,NA,http://www.mendeley.com/research/bioprinting-toward-organ-fabrication-challenges-future-trends
10.1007/s11465-013-0248-8,7364253,13.0,article,"Additive manufacturing: technology, applications and research needs",Frontiers of Mechanical Engineering,8,3,215,243,Springer Berlin Heidelberg,4f6fa6193cf058f6100074c0,4,2013-05-08T00:00:00+00:00,2016-05-12T18:11:50+00:00,2017-09-12T01:00,Nannan Guo,http://link.springer.com/content/pdf/10.1007%2Fs11465-013-0248-8.pdf,NA,http://www.mendeley.com/research/additive-manufacturing-technology-applications-research-needs-5
10.1108/13552541311323272,5967542,3.0,article,Efficient three dimensional modelling of additive manufactured textiles,Rapid Prototyping Journal,19,4,269,281,Emerald Group Publishing Limited,4f6fa5133cf058f610003425,1,2013-06-07T00:00:00+00:00,2016-02-22T20:30:47+00:00,2016-09-15T01:00,Guy A. Bingham,NA,http://www.emeraldinsight.com/doi/10.1108/13552541311323272,http://www.mendeley.com/research/efficient-three-dimensional-modelling-additive-manufactured-textiles
10.1021/sc400093k,1791956,126.96,article,Environmental Life Cycle Analysis of Distributed 3-D Printing and Conventional Manufacturing of Polymer Products,Sustainable Chemistry & Engineering,1,12,130923210847005,1519,American Chemical Society,572cb62f2a83eebd0f8b456c,43,2013-09-23T00:00:00+00:00,2013-09-30T14:29:34+00:00,2017-02-24T06:07,Megan Kreiger,NA,NA,http://www.mendeley.com/research/environmental-life-cycle-analysis-distributed-threedimensional-printing-conventional-manufacturing-p
10.1108/13552541311312193,5954113,3.0,article,Additive manufactured textiles for high‐performance stab resistant applications,Rapid Prototyping Journal,19,3,199,207,Emerald Group Publishing Limited,4f6fa5133cf058f610003425,1,2013-04-19T00:00:00+00:00,2016-02-22T19:05:49+00:00,2016-09-15T01:00,Andrew Johnson,NA,http://www.emeraldinsight.com/doi/10.1108/13552541311312193,http://www.mendeley.com/research/additive-manufactured-textiles-highperformance-stab-resistant-applications
10.1371/journal.pone.0064062,1518672,5.5,article,Development of DArT Marker Platforms and Genetic Diversity Assessment of the U.S. Collection of the New Oilseed Crop Lesquerella and Related Species,PLoS ONE,8,5,e64062,NA,Public Library of Science,4f6fa5313cf058f6100043e3,7,2013-05-28T00:00:00+00:00,2013-05-29T20:17:35+00:00,2016-09-08T20:07,Von Mark V. Cruz,http://dx.plos.org/10.1371/journal.pone.0064062.pdf,NA,http://www.mendeley.com/research/development-dart-marker-platforms-genetic-diversity-assessment-collection-new-oilseed-crop-lesquerel
10.1093/jeg/lbt004,1549918,13.75,article,Local industrial structures and female entrepreneurship in India,Journal of Economic Geography,NA,NA,NA,NA,Oxford Publishing Limited(England),4f6fa5963cf058f610005014,9,2013-05-08T00:00:00+00:00,2013-06-12T02:02:16+00:00,2016-09-06T16:29,E. Ghani,NA,NA,http://www.mendeley.com/research/local-industrial-structures-female-entrepreneurship-india
10.1371/journal.pone.0068251,5728682,3.0,article,Estimating above-ground carbon biomass in a newly restored coastal plain wetland using remote sensing.,PLoS ONE,8,6,e68251,NA,Public Library of Science,4f6fa5313cf058f6100043e3,1,2013-06-28T00:00:00+00:00,2016-02-19T21:21:41+00:00,2016-08-17T14:16,Riegel JB,http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0068251&type=printable,http://dx.plos.org/10.1371/journal.pone.0068251,http://www.mendeley.com/research/estimating-aboveground-carbon-biomass-newly-restored-coastal-plain-wetland-using-remote-sensing
10.1890/12-0563.1,1540665,4.0,article,Sustainable exploitation and management of autogenic ecosystem engineers: application to oysters in Chesapeake Bay,Ecological Applications,23,4,766,776,Ecological Society of America,4f6fa6053cf058f6100065d4,2,2013-06-01T00:00:00+00:00,2013-06-08T16:04:38+00:00,2016-08-17T14:16,Michael J. Wilberg,http://onlinelibrary.wiley.com/doi/10.1890/12-0563.1/pdf,NA,http://www.mendeley.com/research/sustainable-exploitation-management-autogenic-ecosystem-engineers-application-oysters-chesapeake-bay
10.1016/j.enpol.2013.03.038,1493119,33.866,article,Least cost 100% renewable electricity scenarios in the Australian National Electricity Market,Energy Policy,NA,NA,NA,NA,NA,4f6fa5923cf058f610004f21,13,2013-04-01T00:00:00+00:00,2013-05-20T12:10:34+00:00,2016-08-08T10:50,Ben Elliston,NA,http://linkinghub.elsevier.com/retrieve/pii/S0301421513002164,http://www.mendeley.com/research/least-cost-100-renewable-electricity-scenarios-australian-national-electricity-market
10.1016/j.tibtech.2013.04.004,1460898,82.682,article,"ZFN, TALEN, and CRISPR/Cas-based methods for genome engineering",Trends in Biotechnology,31,7,397,405,Elsevier,4f6fa5153cf058f6100036a5,162,2013-05-09T00:00:00+00:00,2013-05-09T16:26:01+00:00,2018-06-11T11:45,Thomas Gaj,http://download.cell.com/trends/biotechnology/pdf/PIIS0167779913000875.pdf,http://linkinghub.elsevier.com/retrieve/pii/S0167779913000875,http://www.mendeley.com/research/zfn-talen-crisprcasbased-methods-genome-engineering
10.1007/s12553-013-0059-2,1648431,4.75,article,Can technology be effective in interventions targeting sexual health and substance use in young people; a systematic review,Health and Technology,3,3,NA,NA,Springer-Verlag,4f6fa61a3cf058f6100075e5,5,2013-06-16T00:00:00+00:00,2013-07-25T09:41:42+00:00,2016-07-20T01:00,Julie McLellan,http://link.springer.com/content/pdf/10.1007%2Fs12553-013-0059-2.pdf,NA,http://www.mendeley.com/research/technology-effective-interventions-targeting-sexual-health-substance-young-people-systematic-review-4
10.1108/20466091311325854,15421504,3.0,article,Factors influencing sustainability outcomes of housing in subtropical Australia,Smart and Sustainable Built Environment,2,1,60,83,NA,574832a02a83ee522d8b45a2,2,2013-05-24T00:00:00+00:00,2017-01-12T19:50:13+00:00,2016-07-15T05:55,Wendy Miller,NA,http://www.emeraldinsight.com/doi/10.1108/20466091311325854,http://www.mendeley.com/research/factors-influencing-sustainability-outcomes-housing-subtropical-australia
10.1080/14036096.2013.775183,9507227,3.0,article,From Modern Housing to Sustainable Suburbia: How Occupants and their Dwellings are Adapting to Reduce Home Energy Consumption,"Housing, Theory and Society",30,3,219,236,NA,4f6fa4da3cf058f61000155b,1,2013-09-01T00:00:00+00:00,2016-07-08T16:48:15+00:00,2016-07-15T05:55,Michelle Gabriel,NA,NA,http://www.mendeley.com/research/modern-housing-sustainable-suburbia-occupants-dwellings-adapting-reduce-home-energy-consumption
10.1186/1471-244x-13-119,1401565,32.05,article,Young men's attitudes and behaviour in relation to mental health and technology: implications for the development of online mental health services,BMC Psychiatry,13,1,119,NA,BioMed Central Ltd,4f6fa4d03cf058f6100007d7,26,2013-04-20T00:00:00+00:00,2013-04-20T18:06:34+00:00,2017-07-19T09:04,Louise A Ellis,http://bmcpsychiatry.biomedcentral.com/track/pdf/10.1186/1471-244X-13-119?site=bmcpsychiatry.biomedcentral.com,http://bmcpsychiatry.biomedcentral.com/articles/10.1186/1471-244X-13-119,http://www.mendeley.com/research/young-mens-attitudes-behaviour-relation-mental-health-technology-implications-development-online-men-4
10.1016/j.resconrec.2013.05.003,13340402,6.0,article,Consumer understanding of product lifetimes,"Resources, Conservation & Recycling",79,NA,21,29,NA,4f6fa6063cf058f610006721,3,2013-10-01T00:00:00+00:00,2016-11-04T14:37:30+00:00,2016-11-09T18:21,Jayne Cox,NA,NA,http://www.mendeley.com/research/onsumer-understanding-product-lifetimes
10.3390/su5062537,1757318,11.0,article,The Geography of Solar Photovoltaics (PV) and a New Low Carbon Urban Transition Theory,Sustainability (2071-1050),5,6,2537,2556,Multidisciplinary Digital Publishing Institute,4f6fa6c23cf058f610009da5,6,2013-01-01T00:00:00+00:00,2013-09-18T07:40:48+00:00,2016-06-17T04:42,Peter Newton,http://www.mdpi.com/2071-1050/5/6/2537/pdf,http://www.mdpi.com/2071-1050/5/6/2537/,http://www.mendeley.com/research/geography-solar-photovoltaics-pv-new-low-carbon-urban-transition-theory
10.1039/c3ee00056g,20524918,6.0,article,Catalysis for CO2 conversion: a key technology for rapid introduction of renewable energy in the value chain of chemical industries,Energy & Environmental Science,6,6,1711,NA,The Royal Society of Chemistry,4f6fa6163cf058f610007287,3,2013-05-22T00:00:00+00:00,2017-05-26T06:48:42+00:00,2017-05-26T01:00,Gabriele Centi,http://pubs.rsc.org/en/content/articlepdf/2013/ee/c3ee00056g,NA,http://www.mendeley.com/research/catalysis-co2-conversion-key-technology-rapid-introduction-renewable-energy-value-chain-chemical-ind-3
10.1080/07380569.2013.847316,1981008,3.5,article,Free for All: A Case Study Examining Implementation Factors of One-to-One Device Programs,Computers in the Schools,30,4,359,377,Routledge,4f6fa4da3cf058f61000153d,2,2013-10-01T00:00:00+00:00,2013-12-15T17:28:52+00:00,2016-06-07T11:36,Sarah K. Howard,NA,http://www.tandfonline.com/doi/abs/10.1080/07380569.2013.847316,http://www.mendeley.com/research/free-case-study-examining-implementation-factors-onetoone-device-programs
10.1038/nbt.2622,1638937,40.402,article,Production of omega-3 eicosapentaenoic acid by metabolic engineering of Yarrowia lipolytica,Nature Biotechnology,31,8,734,,Nature Publishing Group,4f6fa50a3cf058f610003162,30,2013-07-21T00:00:00+00:00,2013-07-22T03:16:38+00:00,2018-02-20T00:00,Zhixiong Xue,https://www.nature.com/articles/nbt.2622.pdf,NA,http://www.mendeley.com/research/production-omega3-eicosapentaenoic-acid-metabolic-engineering-yarrowia-lipolytica-5
10.1073/pnas.1213273110,1687642,129.93,article,The sciences of science communication,Proceedings of the National Academy of Sciences of the United States of America,110,Supplement 3,14033,14039,National Academy of Sciences,4f6fa5133cf058f6100033a0,117,2013-08-13T00:00:00+00:00,2013-08-14T07:06:00+00:00,2018-05-29T15:30,Baruch Fischhoff,http://www.pnas.org/content/early/2013/08/12/1213273110.full.pdf,http://www.pnas.org/cgi/doi/10.1073/pnas.1213273110,http://www.mendeley.com/research/sciences-science-communication
10.1002/jid.2823,14917525,3.0,article,"STATE-BUSINESS RELATIONS, INVESTMENT CLIMATE REFORM AND FIRM PRODUCTIVITY IN SUB-SAHARAN AFRICA",Journal of International Development,25,7,912,935,NA,4f6fa5a63cf058f61000531c,1,2013-10-01T00:00:00+00:00,2016-12-21T20:00:23+00:00,2016-05-19T07:31,"Saeed Qureshi, Mahvash",http://onlinelibrary.wiley.com/doi/10.1002/jid.2823/pdf,NA,http://www.mendeley.com/research/statebusiness-relations-investment-climate-reform-firm-productivity-subsaharan-africa
10.1111/dpr.12013,6738623,3.0,article,Why Agriculture Remains a Viable Means of Poverty Reduction in Sub-Saharan Africa: The Case of Ethiopia,Development Policy Review,31,4,419,441,Blackwell Publishing Ltd,4f6fa4eb3cf058f6100026eb,1,2013-07-05T00:00:00+00:00,2016-04-15T12:28:22+00:00,2016-05-19T01:00,Paul A. Dorosh,http://onlinelibrary.wiley.com/doi/10.1111/dpr.12013/pdf,http://doi.wiley.com/10.1111/dpr.12013,http://www.mendeley.com/research/agriculture-remains-viable-means-poverty-reduction-subsaharan-africa-case-ethiopia
10.1038/nrg3583,1828108,14.55,article,Advanced genetic tools for plant biotechnology,Nature Reviews Genetics,14,11,781,,Nature Publishing Group,4f6fa50b3cf058f61000316a,18,2013-10-09T00:00:00+00:00,2013-10-15T21:03:13+00:00,2016-05-16T17:48,Wusheng Liu,https://www.nature.com/articles/nrg3583.pdf,NA,http://www.mendeley.com/research/advanced-genetic-tools-plant-biotechnology
10.1111/pbi.12016,1064136,31.888,article,Engineering secondary cell wall deposition in plants,Plant Biotechnology Journal,11,3,325,335,NA,4f6fa5123cf058f610003333,9,2012-01-01T00:00:00+00:00,2012-11-13T12:48:34+00:00,2016-05-16T17:48,"Yang, Fan",http://onlinelibrary.wiley.com/doi/10.1111/pbi.12016/pdf,NA,http://www.mendeley.com/research/engineering-secondary-cell-wall-deposition-plants
10.1016/j.foodpol.2013.05.008,1559986,4.5,article,"Elements of public trust in the American food system: Experts, organizations, and genetically modified food",Food Policy,41,NA,145,154,Elsevier Ltd,4f6fa5163cf058f610003798,4,2013-08-01T00:00:00+00:00,2013-06-16T09:36:26+00:00,2017-11-17T19:21,John T. Lang,NA,NA,http://www.mendeley.com/research/elements-public-trust-american-food-system-experts-organizations-genetically-modified-food
10.1021/jf400952y,1733788,6.0,article,"Evaluation of Endogenous Allergens for the Safety Evaluation of Genetically Engineered Food Crops: Review of Potential Risks, Test Methods, Examples and Relevance",Journal of Agricultural & Food Chemistry,61,35,8317,8332,American Chemical Society,4f6fa6053cf058f610006625,5,2013-07-17T00:00:00+00:00,2013-09-06T09:51:20+00:00,2016-05-16T17:48,Richard E. Goodman,NA,NA,http://www.mendeley.com/research/evaluation-endogenous-allergens-safety-evaluation-genetically-engineered-food-crops-review-potential
10.1111/j.1741-6612.2012.00634.x,12878410,3.0,article,"Building social capital among rural, older Australians through information and communication technologies: A review article",Australasian Journal on Ageing,32,1,8,14,NA,4f6fa5483cf058f610004784,1,2013-03-15T00:00:00+00:00,2016-10-22T09:17:54+00:00,2016-05-12T07:02,Warburton J,http://onlinelibrary.wiley.com/doi/10.1111/j.1741-6612.2012.00634.x/pdf,http://doi.wiley.com/10.1111/j.1741-6612.2012.00634.x,http://www.mendeley.com/research/building-social-capital-among-rural-older-australians-through-information-communication-technologies-2
10.4028/0-00000-013-2,42370035,3.0,book,del_Journal of Metastable and Nanocrystalline Materials: Winter e-volume 2005,NA,NA,NA,NA,NA,Commonwealth Agricultural Bureaux,NA,1,1965-01-01T00:00:00+00:00,2018-05-23T00:07:44+00:00,2016-05-10T16:30,NA,NA,http://books.google.com/books?id=tn6_xUSUvtsC&hl=&source=gbs_api,http://www.mendeley.com/research/deljournal-metastable-nanocrystalline-materials-winter-evolume-2005
10.1016/j.engstruct.2012.10.036,16276170,3.0,article,Seismic response of current RC buildings in Nepal: A comparative analysis of different design/construction,Engineering Structures,NA,NA,NA,NA,NA,4f6fa4eb3cf058f6100027d4,1,2013-04-01T00:00:00+00:00,2017-02-09T21:21:30+00:00,2016-05-04T01:00,H. Chaulagain,NA,http://linkinghub.elsevier.com/retrieve/pii/S0141029612005548,http://www.mendeley.com/research/seismic-response-current-rc-buildings-nepal-comparative-analysis-different-designconstruction
10.2471/blt.12.115931,2054048,3.25,article,Hospital payment systems based on diagnosis-related groups: experiences in low- and middle-income countries,Bulletin of the World Health Organization,91,10,746,756A,World Health Organization,56a768dd2a83eeb12a8b4624,5,2013-01-01T00:00:00+00:00,2014-01-18T23:13:16+00:00,2016-05-01T01:00,"Mathauer, Inke",http://www.scielosp.org/scielo.php?script=sci_pdf&pid=S0042-96862013001000746&lng=en&nrm=iso&tlng=en,http://www.who.int/entity/bulletin/volumes/91/10/12-115931.pdf,http://www.mendeley.com/research/hospital-payment-systems-based-diagnosisrelated-groups-experiences-low-middleincome-countries
10.1016/j.strueco.2013.07.003,14952463,3.0,article,"The co-evolution of ICT, skills and organization in public administrations: Evidence from new European country-level data",Structural Change & Economic Dynamics,27,NA,160,176,NA,4f6fa5143cf058f6100035cd,1,2013-12-01T00:00:00+00:00,2016-12-23T02:21:29+00:00,2016-04-28T14:16,Paolo Seri,NA,NA,http://www.mendeley.com/research/coevolution-ict-skills-organization-public-administrations-evidence-new-european-countrylevel-data
10.1080/09537325.2013.843660,16275605,3.0,article,A role for public procurement in system innovation: the transformation of the Greater Manchester (UK) waste system,Technology Analysis &amp; Strategic Management,NA,NA,NA,NA,NA,4f6fa4db3cf058f610001750,1,2013-11-01T00:00:00+00:00,2017-02-09T21:01:55+00:00,2016-04-28T01:00,Sally Gee,NA,http://www.tandfonline.com/doi/abs/10.1080/09537325.2013.843660,http://www.mendeley.com/research/role-public-procurement-system-innovation-transformation-greater-manchester-uk-waste-system
10.1007/s10935-013-0299-y,2254459,9.85,article,The Tug-of-War: Fidelity Versus Adaptation Throughout the Health Promotion Program Life Cycle,Journal of Primary Prevention,,,NA,NA,Springer US,4f6fa5f53cf058f610005e77,8,2013-03-27T00:00:00+00:00,2014-04-04T20:28:51+00:00,2018-06-25T15:16,Bopp M,https://link.springer.com/content/pdf/10.1007%2Fs10935-013-0299-y.pdf,NA,http://www.mendeley.com/research/tugofwar-fidelity-versus-adaptation-throughout-health-promotion-program-life-cycle
10.1007/s10640-013-9676-5,1495655,29.754,article,Are Ecosystem Services Replaceable by Technology?,Environmental & Resource Economics,55,4,NA,NA,Springer Netherlands,4f6fa6043cf058f61000651b,16,2013-05-16T00:00:00+00:00,2013-05-21T12:10:10+00:00,2016-04-15T10:39,Alastair H. Fitter,http://link.springer.com/content/pdf/10.1007%2Fs10640-013-9676-5.pdf,NA,http://www.mendeley.com/research/ecosystem-services-replaceable-technology
10.1080/09537325.2013.764987,1257561,3.0,article,Perceived barriers to participation in R&D programmes for SMEs within the European Union,Technology Analysis &amp; Strategic Management,25,3,329,339,NA,4f6fa4db3cf058f610001750,1,2013-03-01T00:00:00+00:00,2013-02-22T14:48:00+00:00,2016-04-15T01:00,Audrey Gilmore,NA,http://www.tandfonline.com/doi/abs/10.1080/09537325.2013.764987,http://www.mendeley.com/research/perceived-barriers-participation-rd-programmes-smes-within-european-union
